,Tourism_asset,Accessbility_Assignments,Accessbility_Value,Tourism_asset_id,type,address,TripAdvisor_link,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
0,Sitka Studios,3,3,4072,"Art Galleries, Gift & Speciality Shops, Shopping, Museums","Tlell, British Columbia V0T 1Y0, ",https://www.tripadvisor.ca/Attraction_Review-g499152-d10697628-Reviews-Sitka_Studios-Tlell_Graham_Island_Haida_Gwaii_Queen_Charlotte_Islands_British_Co.html,1,5,10,53.56252,-131.94218,967260.2236,607755.9752,Skeena-Queen Charlotte D,5947027,605,440,410,35,0,60,23988,27424,675,Sandspit Airport,53.254166,-131.81388,Skeena-Queen Charlotte E,59424,1 hour 27 mins,87,812298,Queen Charlotte Visitor Centre,53.257768,-132.10312,Queen Charlotte,47378,46 mins,46,20,Prince Rupert,54.27185405,-130.2717334,Prince Rupert,17027,24,247924,9 hours 50 mins,590,24057,23 mins,23,1123,53.686121,-132.18266,STN 651 PORT CLEMENTS,Port Clements,3928,6 mins,6,1528,53.537324,-131.95091,TLELL FIRE DEPT,Skeena-Queen Charlotte D,24210,23 mins,23,1966,53.688836,-132.18461,PORT CLEMENTS COMMUNITY POLICING,Port Clements,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3
1,Skihist Provincial Park,0,4,372,Nature & Parks,"Lytton, British Columbia V0K 1Z0, ",https://www.tripadvisor.ca/Attraction_Review-g666393-d4585011-Reviews-Skihist_Provincial_Park-Lytton_British_Columbia.html,24,4.5,29,50.21565,-121.57504,587639.0419,1315545.737,Lytton,5933015,250,185,180,0,10,0,0,0,623,Kamloops Airport,50.7025,-120.44861,Kamloops,179063,2 hours 5 mins,125,812200,Lytton Visitor Centre,50.231408,-121.58251,Lytton,2047,3 mins,3,6,Merritt,50.12412142,-120.8293313,Thompson-Nicola M,8075,34,98759,1 hour 18 mins,78,2099,3 mins,3,1093,50.232443,-121.58076,STN 321 LYTTON,Lytton,2133,3 mins,3,1393,50.232202,-121.58235,LYTTON VOL FIRE DEPT,Lytton,2171,3 mins,3,1807,50.233073,-121.58054,LYTTON RCMP,Lytton,0,2,0,0,0,0,0,2,0,0,1,1,2,2,4
2,Spirit Square,0,4,1569,"Points of Interest & Landmarks, Sights & Landmarks","Golden, British Columbia V0A 1H0, ",https://www.tripadvisor.ca/Attraction_Review-g181785-d7138289-Reviews-Spirit_Square-Golden_Kootenay_Rockies_British_Columbia.html,8,4.5,241,51.300888,-116.968834,738666.6662,1627317.005,Golden,5939007,3775,2255,2090,170,15,40,24514,30866,627,Salmon Arm Airport,50.682777,-119.22861,Salmon Arm,251706,2 hours 52 mins,172,812281,Invermere Visitor Centre,51.293016,-116.96678,Golden,1529,4 mins,4,34,Revelstoke,50.9924735,-118.1921284,Revelstoke,8213,33,147280,1 hour 38 mins,98,1478,4 mins,4,1067,51.297979,-116.96811,STN 413 GOLDEN,Golden,1261,4 mins,4,1345,51.293996,-116.96174,GOLDEN FIRE DEPT,Golden,2262,4 mins,4,1787,51.317275,-116.97784,GOLDEN RCMP,Golden,0,0,0,0,3,0,7,2,6,0,1,7,15,38,60
3,Wooden Train Trestle,0,4,1643,"Bridges, Historic Sites, Sights & Landmarks","Pouce Coupe, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1961273-d1960484-Reviews-Wooden_Train_Trestle-Pouce_Coupe_British_Columbia.html,4,4,25,55.71663,-120.13398,1206448.981,1367328.081,Pouce Coupe,5955005,655,370,355,15,0,15,31875,36700,717,Dawson Creek Airport,55.742222,-120.18305,Dawson Creek,5606,5 mins,5,812285,Dawson Creek Visitor Centre,55.759315,-120.2279,Dawson Creek,9872,10 mins,10,27,Dawson Creek,55.757539,-120.226662,Dawson Creek,11715,29,9847,10 mins,10,10596,11 mins,11,1047,55.761216,-120.23795,STN 856 DAWSON CREEK,Dawson Creek,308,1 min,1,1458,55.715201,-120.13192,POUCE COUPE VOL FIRE DEPT,Pouce Coupe,10756,12 mins,12,1773,55.759853,-120.23705,DAWSON CREEK RCMP,Dawson Creek,0,1,0,1,4,0,0,4,2,0,0,0,0,3,17
4,Steamship Terminal,2,5,1552,"Architectural Buildings, Sights & Landmarks","Victoria, British Columbia V8V 4W9, ",https://www.tripadvisor.ca/Attraction_Review-g154945-d3962138-Reviews-Steamship_Terminal-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_B.html,22,3.5,1979,48.42106,-123.3714,381982.1778,1194928.294,Victoria,5917034,75390,45270,42960,2310,1290,115,24651,32322,464,Victoria International Airport,48.646944,-123.42583,North Saanich,27064,33 mins,33,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,578,2 mins,2,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,1549,5 mins,5,345,1 min,1,1179,48.420922,-123.37429,ANNEX 118 VICTORIA-FAIRFIELD,Victoria,711,3 mins,3,1576,48.41765,-123.3672,VICTORIA FIRE DEPT HALL 2,Victoria,606,2 mins,2,1941,48.416107,-123.37389,JAMES BAY COMMUNITY POLICING,Victoria,0,5,8,1,25,14,39,94,32,22,39,69,148,142,195
5,Kaatza station museum and archives,0,4,3880,"Speciality Museums, Museums","Lake Cowichan, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g635947-d4509353-Reviews-Kaatza_station_museum_and_archives-Lake_Cowichan_Vancouver_Island_British_Columbi.html,17,5,597,48.823456,-124.05784,424987.6198,1142813.961,Lake Cowichan,5919016,2940,1440,1260,180,15,80,20789,27329,482,Nanaimo Airport,49.052222,-123.87027,Nanaimo A,59774,46 mins,46,812173,Lake Cowichan Visitor Centre,48.823783,-124.05798,Lake Cowichan,38,1 min,0,68,Duncan,48.77731484,-123.7053172,Duncan,4766,39,29133,26 mins,26,891,2 mins,2,1087,48.828441,-124.05398,STN 119 LAKE COWICHAN,Lake Cowichan,1062,3 mins,3,1709,48.828495,-124.05374,LAKE COWICHAN FIRE HALL AND  AMBULANCE STATION,Lake Cowichan,982,3 mins,3,1801,48.826626,-124.04996,LAKE COWICHAN RCMP,Lake Cowichan,0,1,3,0,4,3,5,17,1,0,10,6,8,17,57
6,Alyard Farm,0,4,391,"Nature & Wildlife Areas, Nature & Parks","Sooke, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g182158-d3198500-Reviews-Alyard_Farm-Sooke_Victoria_Capital_Regional_District_Vancouver_Island_British_Col.html,30,5,330,48.376694,-123.73764,376123.6977,1167936.436,Sooke,5917052,9685,5405,5175,230,80,90,25479,32495,464,Victoria International Airport,48.646944,-123.42583,North Saanich,57397,59 mins,59,812182,Sooke Visitor Centre,48.397486,-123.71108,Sooke,4522,7 mins,7,123,Colwood,48.4271392,-123.4854825,Colwood,14655,26,25001,29 mins,29,1530,3 mins,3,1154,48.375196,-123.72554,STN 107 SOOKE,Sooke,1599,3 mins,3,1503,48.382505,-123.73172,SOOKE FIRE DEPT HALL 1,Sooke,1940,4 mins,4,1849,48.380286,-123.71936,SOOKE RCMP,Sooke,0,4,5,1,23,12,34,67,24,21,30,58,129,114,166
7,Turtle Valley Donkey Refuge,0,4,398,"Nature & Wildlife Areas, Nature & Parks","Chase, British Columbia V0E 1M1, ",https://www.tripadvisor.ca/Attraction_Review-g499123-d2355784-Reviews-Turtle_Valley_Donkey_Refuge-Chase_British_Columbia.html,30,5,14,50.818535,-119.57739,665376.0425,1451589.344,Thompson-Nicola L,5933060,2980,1860,1775,85,35,55,22526,30375,623,Kamloops Airport,50.7025,-120.44861,Kamloops,79127,1 hour 2 mins,62,812159,Chase Visitor Centre,50.81672,-119.69314,Chase,16237,17 mins,17,149,Enderby,50.55505891,-119.1431914,Enderby,2920,43,59423,57 mins,57,16973,17 mins,17,1036,50.818486,-119.68508,STN 307 CHASE,Chase,17088,17 mins,17,1288,50.819088,-119.68632,CHASE VOL FIRE DEPT,Chase,15620,16 mins,16,1763,50.811732,-119.69708,CHASE RCMP,Thompson-Nicola L,0,1,2,0,2,0,2,4,3,0,7,7,15,31,53
8,St. Mary's Alpine Provincial Park,0,4,890,Nature & Parks,"Kimberley, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g182146-d6438514-Reviews-St_Mary_s_Alpine_Provincial_Park-Kimberley_Kootenay_Rockies_British_Columbia.html,2,5,94,49.68706,-116.00255,569858.4386,1719292.856,Kimberley,5901028,6040,3250,3035,215,15,40,22253,29768,580,Cranbrook/Canadian Rockies International Airport,49.612222,-115.78194,Cranbrook,24840,25 mins,25,812283,Kimberley Visitor Centre,49.68608,-115.98533,Kimberley,2526,4 mins,4,46,Kimberley,49.67531114,-115.9873367,Kimberley,6976,37,2201,4 mins,4,2958,5 mins,5,1084,49.684301,-115.98088,STN 414 KIMBERLEY,Kimberley,2598,5 mins,5,1374,49.685218,-115.98181,KIMBERLEY FIRE DEPT,Kimberley,3467,6 mins,6,1798,49.674432,-115.97869,KIMBERLEY RCMP,Kimberley,0,1,0,1,1,2,0,3,7,0,1,3,5,19,40
9,Iris Griffith Wetlands,3,3,618,"Nature & Wildlife Areas, Nature & Parks","Madeira Park, British Columbia V0N 2H1, ",https://www.tripadvisor.ca/Attraction_Review-g775493-d1549788-Reviews-Iris_Griffith_Wetlands-Madeira_Park_Sunshine_Coast_British_Columbia.html,16,4,43,49.71071,-123.96832,523716.2187,1146565.997,Sunshine Coast A,5929018,2620,1345,1290,55,20,80,21923,29111,507,Vancouver International Airport,49.194722,-123.18388,Richmond,128594,3 hours 22 mins,202,814484,Madeira Park Tourist/Visitor Info Booth,49.619872,-124.02316,Sunshine Coast A,16168,16 mins,16,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,112911,2 hours 51 mins,171,16568,17 mins,17,1095,49.620899,-124.02686,STN 265 MADEIRA PARK,Sunshine Coast A,5967,7 mins,7,1724,49.748998,-123.99411,EGMONT FIRE HALL,Sunshine Coast A,16037,16 mins,16,1951,49.618487,-124.02441,PENDER HARBOUR COMMUNITY POLICING,Sunshine Coast A,0,0,0,0,0,0,1,1,0,0,1,5,11,13,55
