,Tourism_asset_id,Tourism_asset,type,address,TripAdvisor_link,significance_clusters,significance_ranking,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,CDUID,CD,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
0,0,Stanley Park,Nature & Parks,"Vancouver, British Columbia V6G 1Z4, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d155652-Reviews-Stanley_Park-Vancouver_British_Columbia.html,0,5,20590,4.5,8262,49.299187,-123.13357,480095.3745,1208608.601,Vancouver,5915022,5915,Greater Vancouver,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,16541,33 mins,33,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,2561,8 mins,8,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,4814,14 mins,14,3110,11 mins,11,2023,49.281236,-123.12903,ANNEX 242 ST. PAULS HOSPITAL,Vancouver,1956,7 mins,7,1598,49.286524,-123.13465,VANCOUVER CITY FIRE DEPT HALL 6,Vancouver,1293,4 mins,4,1938,49.290454,-123.13648,WEST END COMMUNITY POLICING,Vancouver,2,12,17,6,139,59,116,204,114,45,76,90,216,238,363
1,1,Butchart Gardens,"Gardens, Points of Interest & Landmarks, Sights & Landmarks, Nature & Parks","Central Saanich, British Columbia V8X 3X4, ",https://www.tripadvisor.ca/Attraction_Review-g184850-d155441-Reviews-Butchart_Gardens-Central_Saanich_Victoria_Capital_Regional_District_Vancouver_Isla.html,2,3,7793,4.5,533,48.564766,-123.46876,397656.717,1187141.423,Central Saanich,5917015,5917,Capital,15605,8600,8335,265,105,25,31888,39260,464,Victoria International Airport,48.646944,-123.42583,North Saanich,12509,20 mins,20,812181,Sidney Visitor Centre,48.649052,-123.39612,Sidney,14980,20 mins,20,123,Colwood,48.4271392,-123.4854825,Colwood,14655,26,20018,29 mins,29,7301,12 mins,12,1143,48.596925,-123.40859,STN 105 CENTRAL SAANICH,Central Saanich,2388,4 mins,4,2016,48.565339,-123.43672,CENTRAL SAANICH FIRE DEPARTMENT HALL 1,Central Saanich,6242,9 mins,9,1887,48.59485,-123.42069,CENTRAL SAANICH,Central Saanich,0,5,9,1,30,16,45,102,33,22,66,75,156,150,252
2,2,Seawall in Vancouver,"Hiking Trails, Nature & Parks, Outdoor Activities","Vancouver, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d3858597-Reviews-Seawall_in_Vancouver-Vancouver_British_Columbia.html,4,4,4068,5,1244,49.28916,-122.80347,480011.0495,1232666.915,Coquitlam,5915034,5915,Greater Vancouver,113560,62895,59555,3345,730,90,25484,34293,487,Boundary Bay Airport,49.073888,-123.0075,Delta,39822,45 mins,45,814218,Coquitlam Tourist/Visitor Info Booth,49.285746,-122.79203,Coquitlam,1323,3 mins,3,86,Port Moody,49.28043966,-122.8327822,Port Moody,23819,19,3113,6 mins,6,3734,8 mins,8,1124,49.259724,-122.79913,STN 263 PORT COQUITLAM,Coquitlam,1226,4 mins,4,1300,49.291459,-122.79031,COQUITLAM FIRE DEPT HALL 1,Coquitlam,1546,4 mins,4,1769,49.28469,-122.79398,COQUITLAM RCMP,Coquitlam,2,11,18,10,148,64,122,216,134,47,79,78,212,248,354
3,3,Wild Pacific Trail,"Hiking Trails, Outdoor Activities, Nature & Parks","Ucluelet, British Columbia V0R 3A0, ",https://www.tripadvisor.ca/Attraction_Review-g183794-d212078-Reviews-Wild_Pacific_Trail-Ucluelet_Barkley_Sound_Vancouver_Island_British_Columbia.html,1,2,1887,5,349,48.921776,-125.54156,434055.3004,1033644.021,Ucluelet,5923019,5923,Alberni-Clayoquot,1485,1015,945,70,10,55,25277,30806,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,27683,28 mins,28,812184,Ucluelet Visitor Centre,49.042819,-125.67398,Alberni-Clayoquot C,18902,19 mins,19,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,102073,1 hour 32 mins,92,3990,7 mins,7,1166,48.94542,-125.56239,STN 134 UCLUELET,Ucluelet,2541,5 mins,5,1220,48.940277,-125.54513,UCLUELET FIRE DEPT,Ucluelet,3001,6 mins,6,1859,48.943617,-125.54771,UCLUELET RCMP,Ucluelet,0,2,0,0,1,0,4,5,0,0,0,34,34,41,54
4,4,Whistler Blackcomb,"Golf Courses, Mountains, Ski & Snowboard Areas, Cross-country Ski Areas, Hiking Trails, Outdoor Activities, Nature & Parks, More","Whistler, British Columbia V0N 1B4, ",https://www.tripadvisor.ca/Attraction_Review-g154948-d219647-Reviews-Whistler_Blackcomb-Whistler_British_Columbia.html,1,2,3024,4.5,1428,50.114822,-122.94917,571257.1299,1218113.584,Whistler,5931020,5931,Squamish-Lillooet,9245,6925,6555,365,60,20,29550,39221,507,Vancouver International Airport,49.194722,-123.18388,Richmond,135879,2 hours 4 mins,124,812212,Whistler Visitor Centre,50.11596,-122.95584,Whistler,820,2 mins,2,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,120196,1 hour 33 mins,93,2752,6 mins,6,1187,50.122201,-122.96066,STN 224 WHISTLER,Whistler,711,2 mins,2,1548,50.116764,-122.95406,WHISTLER FIRE DEPT HEAD OFFICE,Whistler,705,2 mins,2,1866,50.11671,-122.9541,WHISTLER RCMP,Whistler,0,4,4,0,15,0,20,12,18,5,8,11,58,82,109
5,5,Inner Harbour,"Historic Walking Areas, Piers & Boardwalks, Bodies of Water, Nature & Parks, Sights & Landmarks, More","Victoria, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154945-d219337-Reviews-Inner_Harbour-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_British.html,2,3,3911,4.5,1975,48.42222,-123.36889,382117.9416,1195109.551,Victoria,5917034,5917,Capital,75390,45270,42960,2310,1290,115,24651,32322,464,Victoria International Airport,48.646944,-123.42583,North Saanich,27040,33 mins,33,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,214,1 min,1,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,1525,5 mins,5,709,2 mins,2,1179,48.420922,-123.37429,ANNEX 118 VICTORIA-FAIRFIELD,Victoria,687,2 mins,2,1576,48.41765,-123.3672,VICTORIA FIRE DEPT HALL 2,Victoria,947,3 mins,3,1941,48.416107,-123.37389,JAMES BAY COMMUNITY POLICING,Victoria,0,5,8,1,25,14,39,93,32,22,39,69,148,142,195
6,6,Chesterman Beach,"Beaches, Nature & Parks, Outdoor Activities","Tofino, British Columbia V0R 2Z0, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d657003-Reviews-Chesterman_Beach-Tofino_Clayoquot_Sound_Vancouver_Island_British_Columbia.html,1,2,1146,5,1194,49.11098,-125.89202,454967.7845,1007892.44,Tofino,5923025,5915,Greater Vancouver,1655,1055,1000,55,25,30,22696,30538,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,13731,15 mins,15,812183,Tofino Visitor Centre,49.152451,-125.90279,Tofino,5910,8 mins,8,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,119349,1 hour 42 mins,102,3954,5 mins,5,1194,49.139009,-125.8907,STN 136 TOFINO,Tofino,6170,9 mins,9,1219,49.152779,-125.90634,TOFINO FIRE DEPT,Tofino,6003,9 mins,9,1855,49.152766,-125.90399,TOFINO RCMP,Tofino,0,1,1,0,2,0,8,9,1,1,2,47,51,62,79
7,7,Beacon Hill Park,"Neighbourhoods, Other, Nature & Parks, Sights & Landmarks","Victoria, British Columbia V8V, ",https://www.tripadvisor.ca/Attraction_Review-g154945-d186967-Reviews-Beacon_Hill_Park-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_Brit.html,2,3,2993,4.5,1971,48.40917,-123.36782,380673.6273,1195242.697,Victoria,5917034,5915,Greater Vancouver,75390,45270,42960,2310,1290,115,24651,32322,464,Victoria International Airport,48.646944,-123.42583,North Saanich,27995,35 mins,35,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,1817,5 mins,5,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,2481,7 mins,7,2217,5 mins,5,1179,48.420922,-123.37429,ANNEX 118 VICTORIA-FAIRFIELD,Victoria,1085,2 mins,2,1576,48.41765,-123.3672,VICTORIA FIRE DEPT HALL 2,Victoria,1038,3 mins,3,1941,48.416107,-123.37389,JAMES BAY COMMUNITY POLICING,Victoria,0,5,8,1,25,14,39,94,32,22,38,68,147,141,190
8,8,Pacific Rim National Park,"National Parks, Hiking Trails, Outdoor Activities, Nature & Parks","Tofino, British Columbia V0R 3A0, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d219344-Reviews-Pacific_Rim_National_Park-Tofino_Clayoquot_Sound_Vancouver_Island_British_Columbia.html,1,2,995,5,563,49.072,-125.76682,450659.5173,1017057.757,Alberni-Clayoquot C,5923049,5935,Central Okanagan,400,260,250,10,0,10,27665,30652,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,2345,5 mins,5,812184,Ucluelet Visitor Centre,49.042819,-125.67398,Alberni-Clayoquot C,7945,7 mins,7,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,107962,1 hour 32 mins,92,14224,14 mins,14,1194,49.139009,-125.8907,STN 136 TOFINO,Tofino,16440,18 mins,18,1219,49.152779,-125.90634,TOFINO FIRE DEPT,Tofino,16273,17 mins,17,1855,49.152766,-125.90399,TOFINO RCMP,Tofino,0,2,1,0,3,0,12,14,1,1,2,80,83,98,123
9,9,Granville Island,"Islands, Neighbourhoods, Points of Interest & Landmarks, Nature & Parks, Other, Sights & Landmarks, More","Vancouver, British Columbia V6H 3S3, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d156255-Reviews-Granville_Island-Vancouver_British_Columbia.html,0,5,13602,4.5,7851,49.27244,-123.13505,477121.4339,1208621.196,Vancouver,5915022,5931,Squamish-Lillooet,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,12585,24 mins,24,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,4120,13 mins,13,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,2772,8 mins,8,2554,9 mins,9,1198,49.263513,-123.11833,DISPATCH REGION 2,Vancouver,1548,7 mins,7,1601,49.262872,-123.1377,VANCOUVER CITY FIRE DEPT HALL 4,Vancouver,552,4 mins,4,1928,49.271816,-123.13524,GRANVILLE ISLAND COMMUNITY POLICING,Vancouver,2,11,17,6,141,60,116,204,114,46,73,87,212,237,358
